発言ID,開催日,回次,発言順,発言者表記,発言者検索キー,発言本文,議事録URL
1907,2019-10-30,第13回,10,資金運用課長,資金運用,続きまして、資金運用課長でございます。資料の13ページをごらんいただければと思います。年金担保貸付事業の廃止についてでございます。 まず、１の現行制度について御説明いたします。年金担保貸付事業は、年金生活者の一時的な資金需要に対しまして、年金受給権を担保にして小口の資金の貸付けを行う事業でございます。 下に図がございますけれども、左側にあります年金受給者が独立行政法人福祉医療機構に対しまして借り入れの申込みを行い、福祉医療機構から貸付けを行うわけですけれども、その返済に関しましては、右側の年金機構から福祉医療機構に対しまして年金の支払いが行われまして、受給者が選択した金額を返済に充当した上で、残りの金額を、下に矢印が受給者のほうに伸びておりますけれども、残りの金額を受給者へ送金する、このような仕組みが年金担保貸付事業でございます。 １の２つ目の○にございますけれども、この事業に関しましては、老後の生活を支える年金の受給権保護の観点から、閣議決定がされております。※印に閣議決定を御紹介しておりますけれども、生活費に充てるべき年金が返済に充てられて利用者の困窮化を招くこと等の指摘がございまして、これを踏まえまして、平成22年の閣議決定によりまして、この事業の廃止が決定されております。 その後、令和３年度末に新規貸付けの申込受付を終了することを決定しているところでございまして、閣議決定以降の経緯を２のところで御紹介しております。 まず、平成22年の閣議決定の後、２度の貸付条件の変更を行いまして、段階的にこの事業の規模の縮小を図ってきているところでございます。 一方で、先ほど触れました平成22年の閣議決定におきましては、事業廃止に伴う代替措置の検討ということも閣議決定で書かれております。これに関しましては、２の２つ目の○でございますが、社会保障審議会の生活困窮者自立支援及び生活保護部会におきまして、年金担保貸付事業の廃止の方向性の中で、家計相談支援をさらに推進するということ、また、生活を行う上でやむを得ない一時的な資金需要が生ずる低所得の高齢者等に対しては生活福祉資金貸付制度で対応するということが、この部会においてこのようなまとめがされているということでございます。こうしたことも踏まえまして、平成30年に生活困窮者自立支援法の改正が行われましたが、この中で家計改善支援事業の実施の努力義務化等が行われたということでございます。 その後、３つ目の○ですけれども、この貸付事業を行っております福祉医療機構の中期目標が平成30年２月に厚生労働大臣指示という形で定められましたが、この中で、円滑な事業廃止に必要な周知期間等を勘案して、令和３年度末の新規貸付の申込受付の終了が決定されたということでございます。 この事業について以上のような経緯があるということもございまして、３のところでございますけれども、次期年金制度改正において、年金担保貸付事業の廃止のために必要な法制上の措置を講じることとしたいというものでございます。 なお、２つ目の○でございますけれども、年金担保貸付事業の残債権の管理・回収業務につきましては、独立行政法人福祉医療機構が継続して実施することとしているところでございます。 資料１の説明は以上でございます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1908,2019-10-30,第13回,11,年金課長,年金,引き続きまして、資料２の報告事項につきまして御説明申し上げます。 １ページをごらんください。私ども、標準報酬月額というものを年金の保険料の賦課とか記録管理で使っているわけでございますけれども、こちらは上限が定められておりまして、全厚生年金被保険者の平均標準報酬月額、標準報酬月額の平均額でございますけれども、法律上、おおむねその２倍となるようにすることとされておりまして、年度末時点の全厚生年金被保険者の平均標報の２倍が標準報酬月額の上限、現在は62万円でございますけれども、これを上回る状態が継続すると見込まれる場合には、その年の９月１日から政令で上限を引き上げることができるとされております。 平成28年、2016年から、下の表の右端にございますように、各年度末時点で見ますと、すぐ隣の【Ａ】という欄の全厚生年金被保険者の平均標準報酬の２倍が最高等級の62万円を超えているという状況が続いておりまして、私どもはこれは今後も継続する蓋然性が高いと見てございます。 したがいまして、令和２年３月末、すなわち今年度末におきましても62万円を超えているということが確認された場合につきましては、来年９月から政令を改正いたしまして、標準報酬月額の上限を引き上げたいと思っております。こちらは、既に先行しています健康保険の等級表に従いますれば、62万から65万への引き上げになるわけでございます。 ２ページの上段に、厚生年金保険法の該当の条文を記載させていただいております。 また、下が厚生年金と健康保険の等級表の追加の経緯でございます。私どものほうはオレンジ色で表記させていただいておりますけれども、現在の最高等級の62万円というのは平成12年10月に追加されたものでございます。 ３ページ、４ページは、関連の参考の数字でございますので、必要に応じて御確認いただければと思います。 長くなりましたけれども、事務局からの説明は以上でございます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1909,2019-10-30,第13回,12,神野部会長,神野,どうもありがとうございました。 それでは、議題（１）につきましては、論点が多岐にわたっておりますので、それぞれ所管する課長様方に御説明をいただき、さらに最後の標準報酬月額等級の改定については年金課長から御報告をいただきました。 あわせて、御質問、御意見があれば頂戴したいと思います。いかがでございましょうか。 どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1910,2019-10-30,第13回,13,牧原委員,牧原,脱退一時金制度について意見と質問をさせていただきます。企業の経済活動がグローバル化しており、多様な国の間で人材の交流が今後も活発になっていくと考えています。現在でも外国人労働者が増加傾向にあり、引き続き多様な国の人材が日本で働きたいと思えるよう労働環境の改善を図っていくとともに、社会保険の加入促進も図っていく必要があります。したがって、今回の脱退一時金の見直し自体は評価したいと考えておりますけれども、こうした外国人材の動きと、今回の施策を講じた場合に、年金財政にどのようなインパクトが想定されるのかお伺いしたいと思います。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1911,2019-10-30,第13回,14,神野部会長,神野,ありがとうございます。 よろしいですか。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1912,2019-10-30,第13回,15,国際年金課長,国際年金,脱退一時金につきましては、基本的には、特に本人様につきましては納めていただいたものをほぼお返しするという形のものでございます。今回、３年から５年に引き上げることに伴いまして、支払いに見合わない分が縮小しますので、そういう意味では多少なりとも影響はありますが、いずれせよ長期的には基本的に年金にも結びつかないことになりますので、財政影響としては極めて軽微と考えております。いずれにしても、そこについては正式な試算はございません。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1913,2019-10-30,第13回,16,神野部会長,神野,どうぞ、続けてお願いします。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1914,2019-10-30,第13回,17,牧原委員,牧原,外国人労働者の社会保険に係る問題は、社会保険協定が締結されていけば、その中で解決されると思いますけれども、社会保障協定が締結されていない国との交流が今後多くなる可能性もありますので、長期的な意味での年金財政のインパクトは想定することが望ましいと考えます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1915,2019-10-30,第13回,18,神野部会長,神野,どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1916,2019-10-30,第13回,19,大臣官房審議官（年金担当）,大臣官房,財政検証で年金財政の影響を見るときには、基本的に納めていただいた保険料に対応する形での給付は何らかの形で行われるということを前提に計算されておりますので、実際にはその分の年金の給付が発生しないということが制度的には生じている、このように理解をいただければと思います。 もう一つは、人の行き来が多くなりますと、相互の社会保険の適用の調整が大きな問題になってまいりますので、基本的には我々も協定を締結をするという努力をしております。 ただ、今回、特定技能が創設されて、９カ国と受け入れに関する協定を結んでいるのですが、その９カ国のうち、現在、社会保障の協定があるのはフィリピンだけでございまして、今度、ベトナムが外国人に対しても社会保障を適用しようという動きがあるので、今、その準備交渉をやっているという段階で、残りの国々に関しては、外国人に対して自国の年金を適用するというところまで制度が発達してきていないという状況です。協定は相互にやるということなので、条件が整ったところで行っていくことになりますので、そういう意味で言うと若干まだ時間がかかるかなと思っております。 ただ、いずれの国も経済発展に伴って社会保障の整備がされていくのは歴史的に見ても明らかですので、状況を見ながら適切に協定締結の努力は進めていきたいという考えでございます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1917,2019-10-30,第13回,20,神野部会長,神野,ありがとうございました。 山田委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1918,2019-10-30,第13回,21,山田委員,山田,脱退一時金のことが議論になっているので、私もコメントをさせていただきたいのですけれども、今回、特定技能が創設されて、より長期に外国人の方が滞在されるということで、基本的には一時滞在ということを前提にしているので、それに応じて今回延ばすということで趣旨はわかるのですけれども、一方で、非常にテクニカルに考えると、これまで３年だったというのは、恐らく技能実習は３年が実態だったのでそれに合わせていた。ところが、今回、特定技能は２つパターンがあると思うのですけれども、技能実習がないケースは５年で終わるわけですけれども、技能実習に接続するケースは通算すると８年という数字も出てくるので、８年まで延ばすというのも一つの考え方ではあるのではないかと思います。 ただ、私は結論的には５年でいいのかなと思っています。というのは、実際、３年技能実習を終わってから特定技能を５年やるということになってくると、８年も日本の中に定着されるということになると、実際はかなり技能も蓄積されて、特定技能には２号という制度もあって、そちらのほうにも移っていかれる。あるいは、違う形での在留資格で、事実上永住ができるような形になっていかれるケースもふえていくのではないか。そうであるならば、日本で老後を過ごされることになりますので、当然、年金を支給するというほうが御本人にとってもいい。 ただ、今の在留資格のたてつけというのは一時雇用を前提につくられているので、今後どういうふうに推移していくのかということを見ていかないと、どうなるかわからないというのが実態ではないかなと思います。 ですから、ここは５年を決め打ちということではなくて、当面５年で置くにしても、外国人の方の日本での定着の状況、在留資格の具体的な運用の仕方を見ながら、適宜見直していくということが大事なのではないかなということで、ちょっとコメントさせていただきました。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1919,2019-10-30,第13回,22,神野部会長,神野,ありがとうございます。 事務局のほうからは特にいいですか。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1920,2019-10-30,第13回,23,大臣官房審議官（年金担当）,大臣官房,はい。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1921,2019-10-30,第13回,24,神野部会長,神野,諸星委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1922,2019-10-30,第13回,25,諸星委員,諸星,ありがとうございます。 私のほうから３点ほどですが、意見を言わせていただきます。 まず１つ目、適用除外要件の２カ月の見直しの件です。実は中小企業では新卒採用が大変難しいということもあり、どうしても即戦力を求めることになるため、中途採用をした場合、会社に合わず、入社後ほどなくやめてしまうということが良くあるので、契約期間２カ月で本採用し、その間に採用の可否を図ることが実際はあるということです。 ２カ月ごとの契約を何度も結ぶなどして、現行の制度を悪用しているような場合はもってのほかなのですが、一方、この制度があるため、人手不足に悩む中小企業ではこの２カ月があることで人物の見きわめが可能となって、人材の確保、マッチングができているという実態があるということをまずは御理解いただきたいと思います。 見直しの中のマル２に、同一事業所の同一契約で更新実績がある場合ということがありますけれども、実績とはどの程度まで見るのかとか、過去に一人でも実績があったら何年も前のことでも同様にみなされるのか。それから、マル１の更新しない旨の明記さえあればよいのかなど、実務レベルで見るとかなり判断に悩むところでもあります。 これから中小企業の適用拡大を本格的に進めていくので、その負担感が増している状況なので、今回の見直しである遡及も２カ月となれば、当初から加入していなかった労働者自身もあとで保険料をまとめて負担するということが実際に出てきますし、国保などの保険に入っているので、その間かかった場合の治療の保険請求業務も発生をしてくるという実態もあります。 もっともそのようなことを考えたら、当初から加入すればいいではないかということになりますが、先ほどから言っているように、人のマッチングとして現状の制度を利用できるメリットは、中小企業の中では非常にありがたいということは是非ともお伝えしたいと思います。 また、複数箇所や副業で働くことがふえた、これからの働き方の変化にはどう対応していくのかという問題も私は感じております。最近の一つの事例としては、前の会社の有給休暇を使用中に次の会社で事前に働き始めるケースがあるのですね。この見直しの適用となれば、確実に遡及されるということになれば、２事業所適用の対象となり手続きが必要となりますが、そのあたりは十分な周知期間を設けるとは書いてありますけれども、事業主や、そもそも加入者の理解がどこまで浸透するのかということで、最終的には事業所調査に頼らざるを得ないのではないかと思います。 そうすると、年金事務所の現場ではかなりの負荷があると思いますし、私の意見としては、当初からの遡及に関しては、実態をもう少し調べていただいて再検討をしていただきたいと思います。 ２つ目が、年金手帳から基礎年金番号通知書への移行の件ですが、大臣印の印影を入れるとか、これから細かいことは決められるということなのですけれども、これから二十歳となる対象者に渡すということであれば、もう紙ベースとかで、印影を入れて大切にしてもらうという発想はどうなのかなということを素直に思いました。 例えば、やはり年金手帳はよく紛失していますし、マイナンバーの通知書も紛失する人は結構多いので、基礎年金番号通知書を紛失した場合にも再発行になることを考えると、その手間や事務コストのことを考えたら、それこそ今、年金事務所などは現場サイドで広報にとても力を入れている「ねんきんネット」に誘導できるように、そもそも申請してアクセスキーをもらうのではなくて、若い人なのでアクセスキーを最初から通知し、渡して、簡単に登録させる方法をとり、基礎年金番号や加入履歴も自分でスマホで確認できますよということぐらいにすれば、年金を身近に考えてもらう機会にもなるのかなと。若者に向けては、このぐらい大胆なことを考えてもよろしいのではないかと私は思いました。 もちろんシステムの問題やそれにかかる費用もあるので、そう簡単ではないと思いますけれども、来年の春から、一部大手企業では社保加入手続等について電子申請が義務化になります。そうなると、今後、加入者もネットを駆使して手続を行うことが自然の流れとなるので、個人情報問題はもちろん大切だと思いますけれども、しっかりと安全対策をした上で基礎年金番号をネットで通知をするという方法は方向性としてもありではないかなということを素直に考えました。 ３点目は、調査権限の拡大は、私は必要だと思います。適用事業所からよく言われるのは、自分たちのように真面目に納めているところばかり調査に入るではないかと。そうではないところ、例えば同業者の友人から入っていないぞと自慢げに言っている、これはどうにかならないかとよく言われることもありますので、これについては不公平感を払拭するためには必要ではないかなと思います。 以上です。ありがとうございました。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1923,2019-10-30,第13回,26,神野部会長,神野,ありがとうございます。 菊池委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1924,2019-10-30,第13回,27,菊池委員,菊池,４点ばかりコメントさせていただきます。 まず、厚生年金保険の適用除外要件の見直しについては、雇用保険が、雇用契約、労働契約を形式ではなく実体的に捉えることにより、労働者保護を図っている労働法規の適用と平仄を合わせているわけで、今回、被用者保険も同様の観点に立つことになる点では、望ましい改正であると考えています。 ２つ目に、脱退一時金制度の見直しについては、先ほど審議官からもお話がありましたが、法律上は附則に規定されるものでありまして、規定上も当分の間と規定されています。これは国際年金課長からの話でしたか。あくまで本筋は社会保障協定の締結を促進することであることに留意する必要があると思います。その点で、ここ数年、協定締結に向けた動きが活発になされていることは望ましいので、これをより一層促進していただきたいと思います。 １点確認したいのですが、イタリアは2009年に署名済みでずっと発効していないのですけれども、私はずっと不思議に思っていまして、この事情につきまして、よろしければちょっと確認させていただきたいと思います。 滞在期間に限度があり、帰国する外国人の方にとっては、拠出した保険料相当額を一時金として支給することには大きなメリットがあるとは思います。ただし、いわゆる掛け捨てという感覚は民間保険のそれでして、社会保険の仕組みには必ずしも当てはまるものではないのではないかという感じを持っております。 掛け捨てという感覚からすれば、10年の受給資格期間を満たすことができない人には国籍を問わず一時金で支払うべきという議論にも結びつきかねないと思います。また、被保険者になることで、障害年金や遺族年金の受給対象となり得るという点では潜在的な受益があると言うこともできるわけです。 したがいまして、現状を超えた脱退一時金制度の見直しは、私としては反対とまでは言いませんけれども、積極的に賛成できるものではないと思っております。 ３つ目に、機構の調査権限の整備につきましては賛成ですけれども、ただ、これは公権力の行使にかかわるものであります。したがって、法律上、どうやって絞りをかけていくのか、これは条文化の作業の中で当局がお考えになることと思いますが、蓋然性が高いと認められる事業所という法律上の文言にするのかどうか、そうした表現はあまり見たことはありませんけれども、少なくともどこまでを法令事項とし、どこまでを通知・通達等で縛るのか、その辺の線引きぐらいはお示しいただけたらいいのですが、まだそこまで検討が行っていないということであれば、その旨、お話しいただければ結構です。 最後に、年金担保貸付事業の廃止につきましては、もうこれは決まっていることですので異論はございません。これも資料に書いてありますように、生活困窮者及び生活保護部会で家計相談支援事業の推進、生活福祉資金貸付制度の活用という方向性を示しております。 公的年金制度に関連した事業ではありますが、実質的には低所得者、生活困窮者施策の一環として議論されるべきものでありますし、また、この論点はいわゆる相談支援のあり方とも接続させた議論も不可欠であると思います。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1925,2019-10-30,第13回,28,神野部会長,神野,イタリア問題はすぐわかりますか。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1926,2019-10-30,第13回,29,国際年金課長,国際年金,日本・イタリア社会保障協定につきましては、経緯的なことで申し上げますと、2009年２月に署名されまして、我が国におきましては同年７月に国会承認を得たところですが、イタリアのほうで国会承認の手続に大幅な時間を要しまして、結局2015年、平成27年６月に国会承認が得られたということがございます。 この間、相当な間がたちましたので、そうした期間の経過を踏まえまして、現在、まさに両国の当局間、外交当局、それから私ども直接の行政当局、それぞれの間で実施に向けた調整を現在進めているという状況でございます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1927,2019-10-30,第13回,30,神野部会長,神野,諸星委員の意見と菊池委員の意見で、特に事務局のほうからコメントは。 どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1928,2019-10-30,第13回,31,事業管理課長,事業管理,事業管理課長でございます。 先ほど、まず菊池先生のほうからありました調査権限の関係でございますけれども、御指摘いただきましたように、これは公権力の行使ということでございまして、条文上どのような形でどういう場合に入るのかというところについての具体的な書き方は今後の検討ということになります。 ただ、現時点で想定しているのが、11ページに資料をつけさせていただいておりますけれども、立入検査に至るまでにはいろいろなプロセスを経ておりまして、実際に国税情報などから突き合わせて、ある程度蓋然性があるという中で、電話や文書による勧奨をしたり、実際に訪問させていただいたり、加入指導、戸別訪問といったことが段階を踏んでどんどん進んでいった中で、なおかつ拒むようなケースにおいての最後の手段というところで今位置づけられております。 具体的に考えているのは、今申し上げたような国税情報などである程度の蓋然性というか、若干トートロジーですけれども、やはり蓋然性が高い、実際にこれは適用事業所ではないかと考えられるところに対して入っていくことを考えておりますけれども、条文の書き方等は今後よく検討させていただきたいと思っております。 それから、諸星先生からいただきました２カ月のところのお話だったと思うのですけれども、実際にこれは雇用保険の規定なども参考にして２カ月以上見込まれる者ということにするわけですけれども、基本的な原点となる考え方としては、あらかじめ２カ月を超えることが予定されているような契約をされている場合に、これは外形上２カ月以内の契約であったとしても、それは見込まれていたわけですから適用すべきではないかという考え方によるわけでございます。 具体的な運用につきましては、資料にも入れさせていただいているように、雇用契約上、更新を予定されていないかということについては、既に雇用保険の例などでもこういった形にほぼなっているということと、私ども年金の世界で適用拡大、１年以上雇用見込みがないことというところでも同じような基準を使っておりまして、そうした既に行われている先例を見ながら、今、考えているところでございます。 いずれにしても、具体的な実務、運用については、雇用保険の例とか私どもの実例なども見ながらしっかりと考えていきたいと思っております。 以上でございます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1929,2019-10-30,第13回,32,神野部会長,神野,ありがとうございました。 ほかに事務局からはいいですか。よろしいですか。 佐保委員。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1930,2019-10-30,第13回,33,佐保委員,佐保,私のほうから３点ほど発言をさせていただきたいと思います。 最初に、年金生活者支援給付金の所得・世帯情報の取得について、新たに支給対象者となる者に対して簡易な請求書の送付を可能とするという今回の見直しについては賛成いたします。その上で、この給付金は支給対象となる方の生活を底支えする大変重要なものであるため、支給漏れ等が生じないように十分な対策を講じていただきたいと考えております。 次に、日本年金機構の調査権限の強化についてでございます。これにつきまして、社会保険の適切な適用の促進に資するということで賛成いたしますが、立入調査の実効性が高まりますよう、現場で実務を担う日本年金機構の人員体制等の強化を含めた検討が必要ではないかと考えております。 ３点目は、年金担保貸付事業の廃止に関連して、その代替手段として家計相談支援の推進や生活福祉資金貸付制度での対応ということを記載されておりますが、全国社会福祉協議会がことし３月に取りまとめた、これからの生活福祉資金貸付事業のあり方に関する検討委員会報告書というものの中で、都道府県ごとに貸し付け実績の差異が大きくなっているとともに、市町村別に見ると、年間で貸付件数がゼロ件の社協が３割強、町村部で５割強となっていると報告書に書かれております。ということで、生活福祉資金貸付実績には地域差が大きいという課題があると考えております。 この事業の廃止について周知する際には、生活福祉資金貸付制度等の周知や、制度の適正な運用など、厚労省内の連携を含めて御対応をお願いしたいと考えております。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1931,2019-10-30,第13回,34,神野部会長,神野,特にコメントがなければ、細田委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1932,2019-10-30,第13回,35,細田委員,細田,２点申しあげます。 まず１つ目について、外国人の脱退一時金ですが、私どもの業界はこのたび特定技能１号が認められた業界でございまして、外国の方を技能者として受け入れやすくなりました。そういう意味で言うと、支給上限年数が３年から５年に延びたというのは大変ありがたいです。本当を言うと、５年ではなくてもっと勤めていただきたいという気持ちを持っているのですけれども、そういうことで賛成したいと思います。 ２つ目については、資料１の９ページに出ております基礎年金番号の件でございます。私は税務署の会議にも出させていただいて、いろいろな意見を言っているのですが、もっとマイナンバーを活用するということをなぜ皆さん考えないのかなと感じます。税務署でも納税者番号をつくるとか、こちらでも年金番号をつくるとか、ではマイナンバーは何のためにあれだけのお金をかけてシステムをつくろうとしたのか、その辺がよくわからないです。ぜひ、今後のマイナンバーの利用、活用というものをもっと国としてもいろいろな部分で進めていただきたいと思います。 今度、保険証がマイナンバーに紐づけられると聞いております。この中でマイナンバーカードを持っておられる方は何人ぐらいいらっしゃるかわかりませんが、普及率で考えると２割もないと聞いておりますので、ぜひその辺も検討していただきたいと思います。 以上でございます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1933,2019-10-30,第13回,36,神野部会長,神野,マイナンバーに関してコメントはありますか。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1934,2019-10-30,第13回,37,事業管理課長,事業管理,事業管理課長でございます。 マイナンバーの活用につきましては、政府全体の方針に沿って私どもも進めているところでございますけれども、既に年金のいろいろな届け書には基礎年金番号またはマイナンバーの記載ということで、マイナンバーをお書きいただければ基礎年金番号でなくてもこちらのほうで処理できるという扱いには既になっております。 また、マイナンバーカードのほうに基礎年金番号みたいなものを入れられないか、そういった趣旨の御提案だったように理解するのですけれども、保険証のほうはマイナンバーカードでという方向があるのですけれども、マイナンバーカードのICの中にそのまま基礎年金番号を１枚のカードで入れたりしますと、カードの中に基礎年金番号をそのまま入れてしまいますので、マイナンバーと基礎年金番号が非常に容易にひもづいてしまうという問題があって、基礎年金番号だけではなくて、違った仮の符号みたいなものを入れ込まなければいけないのかとか、プライバシーとかセキュリティーという観点から、マイナンバーカードの中にそのまま入れ込むというところはやはり考えるべき論点があるかなと思っております。 また、基礎年金番号の場合、そんなに常時携帯いただくようなものではなくて、医療保険の場合は携帯性が必要だと思うのですけれども、そういう意味でのニーズとか費用対効果、そういったこともいろいろ考えるべき論点だと思うのですけれども、いずれにしてもマイナンバーを進めていくということにつきましては、御指摘いただきましたように、政府全体の方針の中で私どもは進めていくということで、今回の提案もマイナンバーなどの普及もありますので、必ずしも基礎年金番号あるいは国民年金手帳という形でなくても事務としてはできるようにということで、そういった変化を捉えた案ということで提案させていただいているものでございます。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1935,2019-10-30,第13回,38,神野部会長,神野,どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1936,2019-10-30,第13回,39,細田委員,細田,先ほど諸星委員からも御提案があったように、これからはネットで社会がもっと繋がってくると思います。いろいろな番号が出てくるとわかりにくくなってしまうので、もちろんセキュリティーの問題は非常に重要だと思いますけれども、簡素化していっていただけると助かります。 いろいろな番号が出てきて、システムが複雑になればなるほどお金がかかる問題でもありますし、それは当然国費にもかかわる問題ですので、その辺はぜひ御検討いただきたいと思います。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1937,2019-10-30,第13回,40,神野部会長,神野,どうもありがとうございました。 ほかにいかがでございましょうか。 駒村委員、どうぞ。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1938,2019-10-30,第13回,41,駒村委員,駒村,おくれ来て恐縮です。先ほど、佐保委員からもお話がありましたけれども、年金担保貸付事業というのは本来おかしな制度で、廃止すると決まっている以上、これは廃止するということで期限を決めることはよかったと思います。一方で、家計のやりくりに困っている方は生活福祉資金貸付制度が頼りになってくる、あるいは家計相談支援、こういったものがセットで有効になってこなければいけないと思いますので、これが廃止された後、それを補完する制度がちゃんとスムーズに動いているのか、対応すべき点は何かないのかをちゃんとモニターをしていただいて、ひずみが変な形で出てこないように、他部局との連携を、先ほども話があったと思いますけれども、よろしくお願いいたします。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1939,2019-10-30,第13回,42,神野部会長,神野,ありがとうございます。 永井委員、お待たせしました。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1940,2019-10-30,第13回,43,永井委員,永井,原委員がずっと手を挙げていらっしゃったのに、先にさせていただいてありがとうございました。失礼いたしました。ありがとうございます。 私からは１つだけ、働く者の立場で、厚生年金保険の適用除外要件、２カ月以内の期間を定めて使用される者のところにつきまして意見を述べさせていただきたいと思います。 お示しいただいた方向性については賛成の立場でございます。私どものかかわる労働組合からも聞いております中では、派遣労働者にも当然かかわってくると思うのですけれども、派遣労働の中では２カ月という雇用契約を繰り返すというか、２カ月という契約期間が多い中で脱法的な行為も見受けられたということは聞いております。労政審側の部会のほうでも社会保険の加入といった問題を取り上げられているところだと聞いておりますので、今回、脱法的な行為を防ぐという観点からも、労働分野とも十分連携いただきながら、改正されるに至りましては、きょうお示しいただいた具体的な事務の取り扱いのイメージと書かれているような内容につきまして、丁寧な周知を行っていただきたいと思っております。 以上です。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
1941,2019-10-30,第13回,44,神野部会長,神野,どうもありがとうございます。 原委員、気がつかずに済みません。,https://www.mhlw.go.jp/stf/shingi2/0000204770_00019.html
